epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.073,1.17889,1.59432,0.98234,0.94429,0.39136,0.8152,0.55032,1.05627,2.05536,0.97449,0.000659176,0.000659176,0.000659176
2,53.1989,1.04745,0.82707,0.94844,0.81787,0.83747,0.89367,0.63402,1.05798,0.8841,1.00583,0.00131272,0.00131272,0.00131272
3,69.17,1.04618,0.76887,0.94404,0.83859,0.80107,0.85928,0.54368,1.24076,0.92145,1.06283,0.00195306,0.00195306,0.00195306
4,84.8399,1.02077,0.72569,0.94175,0.84901,0.76909,0.84728,0.53974,1.23565,1.07014,1.06992,0.0019406,0.0019406,0.0019406
5,100.654,0.97985,0.65251,0.92954,0.85882,0.69154,0.82987,0.55859,1.16378,1.39034,1.05433,0.0019208,0.0019208,0.0019208
6,116.355,0.94497,0.6064,0.92302,0.8637,0.84417,0.90753,0.63057,1.05423,0.7978,1.00588,0.001901,0.001901,0.001901
7,132.24,0.93762,0.58475,0.91962,0.85702,0.83126,0.89015,0.59202,1.17226,0.85113,1.05123,0.0018812,0.0018812,0.0018812
8,148.087,0.90842,0.55562,0.91278,0.8993,0.82416,0.89529,0.63609,1.06236,0.79879,1.02048,0.0018614,0.0018614,0.0018614
9,163.926,0.89272,0.53798,0.90812,0.89482,0.80284,0.88765,0.59536,1.18173,0.84454,1.05471,0.0018416,0.0018416,0.0018416
10,179.738,0.88305,0.5284,0.90106,0.882,0.86292,0.90326,0.64046,1.07487,0.77518,1.02477,0.0018218,0.0018218,0.0018218
11,196.647,0.87337,0.5132,0.90029,0.90914,0.81705,0.88257,0.61693,1.07579,0.78858,1.01507,0.001802,0.001802,0.001802
12,212.836,0.86197,0.50379,0.89767,0.89487,0.80639,0.89951,0.64369,1.03357,0.84565,1.00674,0.0017822,0.0017822,0.0017822
13,228.924,0.85144,0.49691,0.89843,0.8445,0.76199,0.85837,0.57969,1.1805,0.85104,1.07985,0.0017624,0.0017624,0.0017624
14,245.169,0.84268,0.48952,0.89451,0.89454,0.84547,0.90965,0.63932,1.08701,0.71193,1.02826,0.0017426,0.0017426,0.0017426
