epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4703,5.02505,4.09001,3.41502,0.00032,0.00178,0.00017,3e-05,5.80802,3.82278,4.12789,0.000659176,0.000659176,0.000659176
2,56.5315,2.83887,1.97551,1.83177,0.26974,0.25588,0.17778,0.06234,2.9406,2.01394,2.22019,0.00131272,0.00131272,0.00131272
3,69.688,2.23288,1.48074,1.46553,0.4304,0.31138,0.32351,0.13009,2.59303,1.79829,1.91569,0.00195306,0.00195306,0.00195306
4,82.5854,1.91151,1.24812,1.3057,0.55946,0.36945,0.43138,0.19844,2.31465,1.60091,1.73922,0.0019406,0.0019406,0.0019406
5,95.5426,1.74758,1.08713,1.22162,0.50499,0.35878,0.39715,0.18681,2.24695,1.65346,1.73682,0.0019208,0.0019208,0.0019208
6,108.432,1.58264,0.96706,1.14992,0.58007,0.43673,0.49683,0.23565,2.13621,1.39002,1.56205,0.001901,0.001901,0.001901
7,121.314,1.58037,0.94519,1.13486,0.42176,0.30906,0.31264,0.12763,2.55202,1.75022,1.78261,0.0018812,0.0018812,0.0018812
8,134.202,1.48045,0.8898,1.1055,0.61456,0.46714,0.55287,0.26815,2.03109,1.34094,1.5111,0.0018614,0.0018614,0.0018614
9,147.024,1.43913,0.85091,1.08438,0.62936,0.45845,0.56579,0.2825,2.00164,1.37827,1.51458,0.0018416,0.0018416,0.0018416
10,159.879,1.42213,0.83431,1.06749,0.60082,0.48845,0.56089,0.26728,2.02701,1.41195,1.48686,0.0018218,0.0018218,0.0018218
11,173.774,1.34113,0.78786,1.04311,0.62633,0.51207,0.61271,0.30242,1.91933,1.34026,1.42957,0.001802,0.001802,0.001802
12,187.11,1.34871,0.78788,1.04977,0.64448,0.53128,0.61447,0.31553,1.89772,1.33384,1.43311,0.0017822,0.0017822,0.0017822
13,200.261,1.29722,0.74682,1.02874,0.5764,0.49556,0.5168,0.25028,2.08162,1.47027,1.49191,0.0017624,0.0017624,0.0017624
14,213.371,1.29942,0.7416,1.0221,0.67185,0.5222,0.61751,0.29307,1.98041,1.3014,1.43424,0.0017426,0.0017426,0.0017426
15,226.587,1.28908,0.73032,1.0252,0.69098,0.64654,0.72331,0.37746,1.79411,1.10254,1.36318,0.0017228,0.0017228,0.0017228
16,239.629,1.22198,0.68806,0.99854,0.68438,0.65719,0.71352,0.36045,1.81552,1.18591,1.37167,0.001703,0.001703,0.001703
17,252.707,1.2137,0.69254,0.99473,0.6811,0.60036,0.68411,0.35255,1.82574,1.17333,1.38217,0.0016832,0.0016832,0.0016832
18,274.555,1.20862,0.67246,0.99078,0.64081,0.61279,0.66761,0.33765,1.86741,1.21753,1.38996,0.0016634,0.0016634,0.0016634
